date,time,temperature,humidity,windSpeed,precipitationProbability
2024-10-04,07:01:00,13,95,1,0
2024-10-04,07:11:00,12.88,96,0.88,0
2024-10-04,07:21:00,12.88,96,0.81,0
2024-10-04,07:31:00,13.5,95,0.69,0
2024-10-04,07:41:00,13.81,93,0.5,0
2024-10-04,07:51:00,14.13,92,0.31,0
2024-10-04,08:01:00,14.31,91,0.19,0
2024-10-04,08:11:00,14.38,91,0.13,0
2024-10-04,08:21:00,15.63,88,1,0
2024-10-04,08:31:00,16,87,1.13,0
2024-10-04,08:41:00,16.31,87,1.19,0
2024-10-04,08:51:00,16.69,86,1.31,0
2024-10-04,09:01:00,17.38,85,1.5,0
2024-10-04,09:11:00,17.63,85,1.63,0
2024-10-04,09:21:00,17.88,82,1.69,0
2024-10-04,09:31:00,17.88,82,1.69,0
2024-10-04,09:41:00,17.88,82,1.69,0
2024-10-04,09:51:00,19.19,74,1.88,0
2024-10-04,10:01:00,19.38,73,1.88,0
2024-10-04,10:11:00,19.5,72,1.88,0
2024-10-04,10:21:00,19.81,72,2.13,0
2024-10-04,10:31:00,19.88,72,2.19,0
2024-10-04,10:41:00,20.13,69,1.5,0
2024-10-04,10:51:00,20.31,68,1.63,0
2024-10-04,11:01:00,20.5,67,1.69,0
2024-10-04,11:11:00,20.63,66,1.69,0
2024-10-04,11:21:00,21,63,1.88,0
2024-10-04,11:31:00,21.31,60,2,0
2024-10-04,11:41:00,21.38,59,2,0
2024-10-04,11:51:00,21.81,56,2.13,0
2024-10-04,12:01:00,21.88,55,2.19,0
2024-10-04,12:11:00,22.19,53,2.31,0
2024-10-04,12:22:00,22.31,52,2.31,0
2024-10-04,12:32:00,22.63,54,3.38,0
2024-10-04,12:42:00,22.63,53,3.38,0
2024-10-04,12:52:00,22.69,52,3.38,0
2024-10-04,13:02:00,22.69,51,3.38,0
2024-10-04,13:12:00,22.81,51,3.38,0
2024-10-04,13:22:00,22.88,51,3.38,0
2024-10-04,13:32:00,23,51,3.38,0
2024-10-04,13:42:00,23.13,51,3.31,0
2024-10-04,13:52:00,22.69,59,3.38,0
2024-10-04,14:02:00,22.69,59,3.38,0
2024-10-04,14:12:00,22.69,60,3.31,0
2024-10-04,14:22:00,22.69,60,3.31,0
2024-10-04,14:32:00,22.81,60,3.19,0
2024-10-04,14:42:00,23,59,2.88,0
2024-10-04,14:52:00,23.13,58,2.81,0
2024-10-04,15:02:00,23.19,58,2.69,0
2024-10-04,15:12:00,23.19,58,2.69,0
2024-10-04,15:22:00,23.19,58,2.88,0
2024-10-04,15:32:00,23.13,60,3.19,0
2024-10-04,15:42:00,22.88,61,3.31,0
2024-10-04,15:52:00,22.81,61,3.5,0
2024-10-04,16:02:00,22.69,62,3.69,0
2024-10-04,16:12:00,22.63,63,3.69,0
2024-10-04,16:22:00,22.38,63,3.81,0
2024-10-04,16:32:00,22.19,64,3.81,0
2024-10-04,16:42:00,22,64,3.81,0
2024-10-04,16:52:00,21.81,64,3.88,0
2024-10-04,17:02:00,21.63,65,3.88,0
2024-10-04,17:12:00,21.38,66,3.88,0
2024-10-04,17:22:00,21.19,67,4.13,0
2024-10-04,17:32:00,20.88,68,3.69,0
2024-10-04,17:42:00,20.69,68,3.69,0
2024-10-04,17:52:00,20.38,69,3.69,0
2024-10-04,18:02:00,20.19,69,3.69,0
2024-10-04,18:12:00,20,70,3.69,0
2024-10-04,18:22:00,19.81,71,3.5,0
2024-10-04,18:32:00,19.5,75,3.5,0
2024-10-04,18:42:00,19.38,76,3.31,0
2024-10-04,18:52:00,19.19,76,3.13,0
2024-10-04,19:02:00,19.13,77,2.88,0
2024-10-04,19:12:00,19,77,2.88,0
2024-10-04,19:22:00,19,76,2.88,0
2024-10-04,19:32:00,19.19,73,3.13,0
2024-10-04,19:42:00,19.19,73,3,0
2024-10-04,19:52:00,19.19,73,3,0
2024-10-04,20:02:00,19.19,73,3,0
2024-10-04,20:12:00,19.19,73,3,0
2024-10-04,20:22:00,19.19,73,3,0
2024-10-04,20:32:00,19.13,74,3,0
2024-10-04,20:42:00,19.13,74,3.13,0
2024-10-04,20:52:00,19.13,74,3.13,0
2024-10-04,21:02:00,18.88,78,2.63,0
2024-10-04,21:12:00,18.81,79,2.5,0
2024-10-04,21:22:00,18.88,79,2.38,0
2024-10-04,21:32:00,18.88,79,2.38,0
2024-10-04,21:42:00,18.88,79,2.31,0
2024-10-04,21:52:00,18.88,80,2.19,0
2024-10-04,22:02:00,18.88,80,2.13,0
2024-10-04,22:12:00,18.63,77,1.88,0
2024-10-04,22:22:00,18.81,75,1.69,0
2024-10-04,22:32:00,18.69,75,1.88,0
2024-10-04,22:42:00,18.69,75,2.13,0
2024-10-04,22:53:00,18.69,75,2.19,0
2024-10-04,23:03:00,18.63,75,2.38,0
2024-10-04,23:13:00,18.69,75,2.31,0
2024-10-04,23:23:00,18.69,75,2.19,0
2024-10-04,23:33:00,19,74,2.5,0
2024-10-04,23:43:00,18.88,75,2.63,0
2024-10-04,23:53:00,18.81,75,2.69,0
2024-10-05,00:03:00,18.69,75,2.81,0
2024-10-05,00:15:00,18.63,76,2.5,0
2024-10-05,00:25:00,19,74,2,0
2024-10-05,00:35:00,18.81,76,2,0
2024-10-05,00:45:00,18.5,78,1.88,0
2024-10-05,00:55:00,18.31,80,1.81,0
2024-10-05,01:05:00,18,82,1.69,0
2024-10-05,01:15:00,18,82,1.69,0
2024-10-05,01:25:00,18,81,1.69,0
2024-10-05,01:35:00,18,80,1.69,0
2024-10-05,01:45:00,18,80,1.81,0
2024-10-05,01:55:00,18,80,1.88,0
2024-10-05,02:05:00,18.13,80,2,0
2024-10-05,02:15:00,18,80,1.81,0
2024-10-05,02:25:00,18,80,1.69,0
2024-10-05,02:35:00,18,80,1.5,0
2024-10-05,02:45:00,17.38,82,1.19,0
2024-10-05,02:55:00,17.31,83,1.19,0
2024-10-05,03:05:00,17.13,84,1.13,0
